DATA_ORIGIN,TXN_POST_DATE,CARD_NUMBER,CARD_USER_ID,CARD_EXPIRATION_DATE,TXN_SEQUENCE,ACCOUNT_NUMBER,TXN_DATE,TXN_CODE,DEBIT_CREDIT_IND,AMOUNT_TRANSACTION,INTERCHANGE_FEES,MERCHANT_NAME,NETWORK_IDENTIFIER,MERCHANT_TYPE,RECURRING_IND,VISA_FEE_PROG_IND,TXN_REF_NUMBER,MERCHANT_CITY,MERCHANT_STATE,MERCHANT_COUNTRY,INCLUSION_FLAG,BUSCARD_OTHER_NUM,BUSCARD_MEMO,TXN_MNEMONIC_CODE
TSS,7/2/2019,TSS1234567898765432,00000000708443,2807,1,TSS1234567898765432,7/1/2019,TSS-1001,D,66.5,-1.4,ADT SECURITY*309073543,XXXXXX,7393,Y,,24692169182100560510830,WWW.ADT.COM,FL,US,Y,,N,1001
TSS,7/8/2019,TSS1234567898765433,00000000708444,2807,1,TSS1234567898765433,7/4/2019,TSS-1001,D,55.45,-1.18,PAYPAL *ALSBARN INC,XXXXXX,5733,N,,24492159186894316453597,402-935-7733,CA,US,Y,,N,1001
TSS,7/8/2019,TSS1234567898765434,00000000708445,2807,2,TSS1234567898765434,7/6/2019,TSS-1001,D,13.99,-0.37,PAYPAL *SUPERXPCHU,XXXXXX,5733,N,,24492159187894366142974,402-935-7733,CA,US,Y,,N,1001
TSS,7/11/2019,TSS1234567898765435,00000000708446,2807,1,TSS1234567898765435,7/9/2019,TSS-1001,D,74,-1.54,PAYPAL *MUSICSUBMAR,XXXXXX,5732,N,,24492159191852498442658,402-935-7733,CA,US,Y,,N,1001
TSS,7/29/2019,TSS1234567898765436,00000000708447,2807,1,TSS1234567898765436,7/27/2019,TSS-1001,D,21.35,-0.52,PAYPAL *MIDIWORLD,XXXXXX,5732,N,,24492159209894189813474,402-935-7733,CA,US,Y,,N,1001
TSS,7/30/2019,TSS1234567898765437,00000000708448,2807,1,TSS1234567898765437,7/30/2019,TSS-108,C,-287.46,0,PAYMENT RECEIVED -- THANK,XXXXXX,0000,N,,74625479211000279002951,YOU,,,Y,,N,0108
TSS,8/2/2019,TSS1234567898765438,00000000708449,2807,1,TSS1234567898765438,8/1/2019,TSS-1001,D,66.5,-1.4,ADT SECURITY*309073543,XXXXXX,7393,Y,,24692169213100774304353,WWW.ADT.COM,FL,US,Y,,N,1001
TSS,8/21/2019,TSS1234567898765439,00000000708441,2807,1,TSS1234567898765439,8/20/2019,TSS-1001,D,23.99,-0.57,PAYPAL *PATSY61N,XXXXXX,5999,N,,24492159232894132003786,402-935-7733,CA,US,Y,,N,1001
TSS,8/23/2019,TSS1234567898765440,00000000708442,2807,1,TSS1234567898765440,8/21/2019,TSS-1001,D,264.55,-5.26,BETIX,XXXXXX,7922,N,,24559309234900012293063,205-9674745,AL,US,Y,,N,1001
TSS,8/26/2019,TSS1234567898765441,00000000708450,2807,1,TSS1234567898765441,8/26/2019,TSS-108,C,-87.85,0,PAYMENT RECEIVED -- THANK,XXXXXX,0000,N,,74625479238000483001012,YOU,,,Y,,N,0108
